nohup: ignoring input
/home/yhang/GAN/InfoGAN-PyTorch/train_classifier.py:148: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  target = torch.tensor(label.view(1, b_size), dtype=torch.long)
Random Seed:  2048
cuda:1  will be used.

-------------------------
Starting Training Loop...

Epochs: 100
Dataset: TEXBAT
Batch Size: 128
Length of Data Loader: 1230
-------------------------
Time taken for Epoch 10: 10.49s
[11/100][100/1230]	Loss_C: 0.0252
[11/100][200/1230]	Loss_C: 0.0390
[11/100][300/1230]	Loss_C: 0.0495
[11/100][400/1230]	Loss_C: 0.0547
[11/100][500/1230]	Loss_C: 0.0167
[11/100][600/1230]	Loss_C: 0.0808
[11/100][700/1230]	Loss_C: 0.0431
[11/100][800/1230]	Loss_C: 0.0889
[11/100][900/1230]	Loss_C: 0.0421
[11/100][1000/1230]	Loss_C: 0.0603
[11/100][1100/1230]	Loss_C: 0.0136
[11/100][1200/1230]	Loss_C: 0.0606
Time taken for Epoch 11: 10.66s
[12/100][100/1230]	Loss_C: 0.0155
[12/100][200/1230]	Loss_C: 0.0746
[12/100][300/1230]	Loss_C: 0.0506
[12/100][400/1230]	Loss_C: 0.0254
[12/100][500/1230]	Loss_C: 0.0508
[12/100][600/1230]	Loss_C: 0.0203
[12/100][700/1230]	Loss_C: 0.0283
[12/100][800/1230]	Loss_C: 0.0291
[12/100][900/1230]	Loss_C: 0.0219
[12/100][1000/1230]	Loss_C: 0.1072
[12/100][1100/1230]	Loss_C: 0.0596
[12/100][1200/1230]	Loss_C: 0.0289
Time taken for Epoch 12: 10.54s
[13/100][100/1230]	Loss_C: 0.0269
[13/100][200/1230]	Loss_C: 0.0128
[13/100][300/1230]	Loss_C: 0.0299
[13/100][400/1230]	Loss_C: 0.0579
[13/100][500/1230]	Loss_C: 0.0239
[13/100][600/1230]	Loss_C: 0.0786
[13/100][700/1230]	Loss_C: 0.0823
[13/100][800/1230]	Loss_C: 0.0216
[13/100][900/1230]	Loss_C: 0.0340
[13/100][1000/1230]	Loss_C: 0.0562
[13/100][1100/1230]	Loss_C: 0.0893
[13/100][1200/1230]	Loss_C: 0.0583
Time taken for Epoch 13: 10.71s
[14/100][100/1230]	Loss_C: 0.0119
[14/100][200/1230]	Loss_C: 0.0144
[14/100][300/1230]	Loss_C: 0.0439
[14/100][400/1230]	Loss_C: 0.0153
[14/100][500/1230]	Loss_C: 0.0169
[14/100][600/1230]	Loss_C: 0.0333
[14/100][700/1230]	Loss_C: 0.1530
[14/100][800/1230]	Loss_C: 0.0139
[14/100][900/1230]	Loss_C: 0.0887
[14/100][1000/1230]	Loss_C: 0.0338
[14/100][1100/1230]	Loss_C: 0.0657
[14/100][1200/1230]	Loss_C: 0.0268
Time taken for Epoch 14: 10.71s
[15/100][100/1230]	Loss_C: 0.0498
[15/100][200/1230]	Loss_C: 0.0063
[15/100][300/1230]	Loss_C: 0.0057
[15/100][400/1230]	Loss_C: 0.0130
[15/100][500/1230]	Loss_C: 0.0171
[15/100][600/1230]	Loss_C: 0.0037
[15/100][700/1230]	Loss_C: 0.0591
[15/100][800/1230]	Loss_C: 0.0267
[15/100][900/1230]	Loss_C: 0.0320
[15/100][1000/1230]	Loss_C: 0.0224
[15/100][1100/1230]	Loss_C: 0.0160
[15/100][1200/1230]	Loss_C: 0.0679
Time taken for Epoch 15: 10.64s
[16/100][100/1230]	Loss_C: 0.0450
[16/100][200/1230]	Loss_C: 0.0178
[16/100][300/1230]	Loss_C: 0.0282
[16/100][400/1230]	Loss_C: 0.0211
[16/100][500/1230]	Loss_C: 0.0335
[16/100][600/1230]	Loss_C: 0.0152
[16/100][700/1230]	Loss_C: 0.0308
[16/100][800/1230]	Loss_C: 0.0318
[16/100][900/1230]	Loss_C: 0.0153
[16/100][1000/1230]	Loss_C: 0.0307
[16/100][1100/1230]	Loss_C: 0.0618
[16/100][1200/1230]	Loss_C: 0.0301
Time taken for Epoch 16: 10.64s
[17/100][100/1230]	Loss_C: 0.0025
[17/100][200/1230]	Loss_C: 0.0276
[17/100][300/1230]	Loss_C: 0.0190
[17/100][400/1230]	Loss_C: 0.0128
[17/100][500/1230]	Loss_C: 0.0422
[17/100][600/1230]	Loss_C: 0.0504
[17/100][700/1230]	Loss_C: 0.0067
[17/100][800/1230]	Loss_C: 0.0211
[17/100][900/1230]	Loss_C: 0.0120
[17/100][1000/1230]	Loss_C: 0.0426
[17/100][1100/1230]	Loss_C: 0.0101
[17/100][1200/1230]	Loss_C: 0.0411
Time taken for Epoch 17: 10.62s
[18/100][100/1230]	Loss_C: 0.0343
[18/100][200/1230]	Loss_C: 0.0036
[18/100][300/1230]	Loss_C: 0.0962
[18/100][400/1230]	Loss_C: 0.0110
[18/100][500/1230]	Loss_C: 0.0395
[18/100][600/1230]	Loss_C: 0.0156
[18/100][700/1230]	Loss_C: 0.0171
[18/100][800/1230]	Loss_C: 0.0259
[18/100][900/1230]	Loss_C: 0.0139
[18/100][1000/1230]	Loss_C: 0.0209
[18/100][1100/1230]	Loss_C: 0.0080
[18/100][1200/1230]	Loss_C: 0.0030
Time taken for Epoch 18: 10.51s
[19/100][100/1230]	Loss_C: 0.0305
[19/100][200/1230]	Loss_C: 0.0251
[19/100][300/1230]	Loss_C: 0.0445
[19/100][400/1230]	Loss_C: 0.0613
[19/100][500/1230]	Loss_C: 0.0318
[19/100][600/1230]	Loss_C: 0.0417
[19/100][700/1230]	Loss_C: 0.0119
[19/100][800/1230]	Loss_C: 0.0239
[19/100][900/1230]	Loss_C: 0.0342
[19/100][1000/1230]	Loss_C: 0.0266
[19/100][1100/1230]	Loss_C: 0.0703
[19/100][1200/1230]	Loss_C: 0.0742
Time taken for Epoch 19: 10.49s
[20/100][100/1230]	Loss_C: 0.0081
[20/100][200/1230]	Loss_C: 0.0100
[20/100][300/1230]	Loss_C: 0.0457
[20/100][400/1230]	Loss_C: 0.0728
[20/100][500/1230]	Loss_C: 0.0153
[20/100][600/1230]	Loss_C: 0.0038
[20/100][700/1230]	Loss_C: 0.0293
[20/100][800/1230]	Loss_C: 0.0117
[20/100][900/1230]	Loss_C: 0.0046
[20/100][1000/1230]	Loss_C: 0.0386
[20/100][1100/1230]	Loss_C: 0.0503
[20/100][1200/1230]	Loss_C: 0.0267
Time taken for Epoch 20: 10.53s
